"","SiteWs","Site","WS","Date","Ca_fwmc_mgL","DOC_fwmc_mgL","NH4_fwmc_mgL","NO3_fwmc_mgL","SO4_fwmc_mgL","TDP_fwmc_mgL"
"1228","DOR_HP5","DOR","HP5",1987-10-01,4.55272727272727,20.2683813747228,0.0156934811529933,0.0145218706270031,0.0129726784922395,0.0448162783839575
"1229","DOR_HP5","DOR","HP5",1987-11-01,5.1079686996278,16.2154069341461,0.0105409571817942,0.056178365229624,0.0155448609360804,0.017958939370445
"1230","DOR_HP5","DOR","HP5",1987-12-01,4.22263223591824,11.4525562695875,0.00911702241767671,0.10186022260363,0.0128218676860665,0.0116194415718718
"1231","DOR_HP5","DOR","HP5",1988-01-01,4.09853620135742,9.62517794049875,0.0419050232973767,0.147766004978617,0.0118445394778834,0.0134547566559267
"1232","DOR_HP5","DOR","HP5",1988-02-01,3.83096833318885,9.29081699629708,0.094232318228541,0.272174260344038,0.0107216850161616,0.0263324437666794
"1233","DOR_HP5","DOR","HP5",1988-03-01,3.07717018901336,7.3813787196366,0.119378358740424,0.415797917388459,0.00925922282211187,0.0260682005777961
"1234","DOR_HP5","DOR","HP5",1988-04-01,2.42680473961964,5.88565501676126,0.0207065617843274,0.158643864715059,0.00790038667064954,0.0149099054583786
"1235","DOR_HP5","DOR","HP5",1988-05-01,2.52015462850043,12.0798223613061,0.00359097080006443,0.0121021422490163,0.00634404381140845,0.0249349798483372
"1236","DOR_HP5","DOR","HP5",1988-06-01,2.70893619616933,20.3923729330649,0.00749447968769062,0.0163345431255337,0.00113509363181652,0.100084048027444
"1237","DOR_HP5","DOR","HP5",1988-07-01,3.19450685610441,22.978090709583,0.0363239715843383,0.0159821576077978,0.00264843053031555,0.116630844954881
"1238","DOR_HP5","DOR","HP5",1988-08-01,3.64077452218207,26.15123427228,0.0404478354884119,0.0163157444091311,0.00455614886731392,0.0987860006034223
"1239","DOR_HP5","DOR","HP5",1988-09-01,3.3081687839455,22.0187287121421,0.00648746893123447,0.0103205376047132,0.00423027708736077,0.0562085503685504
"1240","DOR_HP5","DOR","HP5",1988-10-01,4.60043886462882,20.9769650655022,0.00132205240174673,0.0108003930131004,0.010317943231441,0.0240533173718864
"1241","DOR_HP5","DOR","HP5",1988-11-01,3.67511264791763,13.4806712770862,0.00445057630244352,0.0311122053173505,0.0106097307514984,0.0123329075882795
"1242","DOR_HP5","DOR","HP5",1988-12-01,3.5690422839122,10.684696460434,0.0459263869870119,0.0780118677123532,0.0104779102470042,0.015460095623391
"1243","DOR_HP5","DOR","HP5",1989-01-01,3.62165144171711,10.12505751234,0.112921967978802,0.145152246648553,0.00916240926451209,0.0171779719552282
"1244","DOR_HP5","DOR","HP5",1989-02-01,3.29721914469311,9.58663859960115,0.119494571238644,0.156827609129182,0.00798791269665411,0.0354165931156222
"1245","DOR_HP5","DOR","HP5",1989-03-01,3.02294135512071,8.16382215976085,0.116470308350107,0.494644365213677,0.00814148226004311,0.0160524103931428
"1246","DOR_HP5","DOR","HP5",1989-04-01,2.51804084887688,6.05340481148376,0.0287828186611138,0.327339247514785,0.00789990474502681,0.0134382164328657
"1247","DOR_HP5","DOR","HP5",1989-05-01,2.34615621471826,9.59700810838551,0.00545201683259776,0.0245810838550754,0.00658496869547367,0.0143407108403148
"1248","DOR_HP5","DOR","HP5",1989-06-01,2.57933069630188,20.0721133923526,0.0147098637533748,0.0143931688327996,0.00289321592264708,0.0570056996295241
"1249","DOR_HP5","DOR","HP5",1989-07-01,3.2436024223568,22.5058373613349,0.108588014148934,0.0149296442394948,0.0018273385558457,0.138801242980756
"1250","DOR_HP5","DOR","HP5",1989-08-01,3.18995825975277,19.0632204206133,0.317726280301814,0.0171512281265051,0.0020568630598812,0.127732102656461
