Watershed,Record_Type,Date,Year,Month,Day,Hour,Ca_ueq_L,Mg_ueq_L,NO3_ueq_L,SO4_ueq_L,NH4_ueq_L,DOC_mg_L
WB,ISCO,8/29/1988,1988,8,29,22,87,35,0.5,101,1.4,1.9
EB,ISCO,8/30/1988,1988,8,30,2,94,32,8.8,102,1.4,3.4
WB,ISCO,8/30/1988,1988,8,30,2,78,30,0.3,,1.4,2.9
EB,ISCO,8/30/1988,1988,8,30,6,92,30,10.1,109,1.4,3.1
WB,ISCO,8/30/1988,1988,8,30,6,90,35,4.7,110,1.4,3.6
EB,REG,8/30/1988,1988,8,30,9,89,30,6.1,115,1.4,2.4
WB,REG,8/30/1988,1988,8,30,9,88,35,5.8,114,1.4,2.6
EB,REG,8/30/1988,1988,8,30,10,93,30,6.3,114,1.4,2.3
EB,ISCO,8/30/1988,1988,8,30,14,89,30,3.5,115,1.4,2.7
WB,ISCO,8/30/1988,1988,8,30,14,87,34,3,113,1.4,2.2
WB,ISCO,8/31/1988,1988,8,31,2,87,34,0.3,112,1.4,2
EB,ISCO,8/31/1988,1988,8,31,14,89,30,0.5,116,1.4,2.2
EB,ISCO,8/31/1988,1988,8,31,22,90,30,1.3,116,1.4,2.3
EB,ISCO,9/1/1988,1988,9,1,10,92,31,0.8,116,1.4,2
WB,ISCO,9/1/1988,1988,9,1,18,89,35,0.2,112,1.4,2.3
WB,REG,9/6/1988,1988,9,6,10,87,35,0.05,111,1.4,1.6
EB,REG,9/6/1988,1988,9,6,11,114,34,0.05,117,1.4,1.5
WB,REG,10/11/1988,1988,10,11,11,92,39,4.3,122,1.4,2.4
EB,REG,10/11/1988,1988,10,11,12,99,33,4.1,124,1.4,1.9
EB,REG,10/11/1988,1988,10,11,13,99,31,3.4,125,1.4,2
WB,REG,10/18/1988,1988,10,18,13,94,37,0.05,114,1.4,1.5
EB,REG,10/18/1988,1988,10,18,14,122,36,0.05,122,1.4,1.8
EB,REG,10/22/1988,1988,10,22,10,95,33,0.05,121,2.77,1.7
WB,REG,10/22/1988,1988,10,22,10,91,38,0.05,119,2.77,1.6
EB,REG,10/22/1988,1988,10,22,18,93,32,8.3,117,2.77,3.2
WB,REG,10/22/1988,1988,10,22,18,95,36,15.7,118,2.77,2.9
EB,REG,10/23/1988,1988,10,23,2,99,33,11.2,118,2.77,3.2
WB,REG,10/23/1988,1988,10,23,2,97,35,21.9,115,2.77,2.2
EB,REG,10/24/1988,1988,10,24,18,91,30,5.4,114,3.32,2.9
WB,REG,10/24/1988,1988,10,24,18,89,33,9.4,113,2.77,2.4
EB,REG,10/25/1988,1988,10,25,2,94,30,10,113,2.77,3.4
WB,REG,10/25/1988,1988,10,25,2,95,32,17.3,115,2.77,2.6
EB,REG,10/25/1988,1988,10,25,9,88,30,10.6,113,2.77,2.9
EB,REG,10/25/1988,1988,10,25,9,90,30,10.1,113,2.77,2.8
EB,REG,10/25/1988,1988,10,25,9,91,30,10,112,2.77,2.9
WB,REG,10/25/1988,1988,10,25,10,90,32,12.9,115,2.77,2.4
WB,REG,10/25/1988,1988,10,25,10,94,33,13.2,116,2.77,2.2
EB,REG,10/25/1988,1988,10,25,18,85,30,10.2,114,2.77,2.8
WB,REG,10/25/1988,1988,10,25,18,91,32,13.3,114,2.77,2.3
EB,REG,10/26/1988,1988,10,26,2,88,30,8.1,113,2.77,2.6
WB,REG,10/26/1988,1988,10,26,2,89,32,10.5,113,3.32,2.1
EB,REG,11/1/1988,1988,11,1,10,87,30,2.4,118,1.4,1.6
WB,REG,11/1/1988,1988,11,1,11,89,33,3.9,116,1.4,1.4
EB,REG,11/1/1988,1988,11,1,18,85,30,2.2,116,1.4,1.9
WB,REG,11/1/1988,1988,11,1,18,86,33,3.7,114,1.4,1.5
EB,REG,11/2/1988,1988,11,2,6,80,30,7.2,104,1.4,4.6
WB,REG,11/2/1988,1988,11,2,6,86,31,13.6,105,1.4,3.8
EB,REG,11/2/1988,1988,11,2,10,81,29,10.5,102,1.4,5.2
WB,REG,11/2/1988,1988,11,2,10,82,30,15,107,1.4,
EB,REG,11/4/1988,1988,11,4,10,79,29,5.8,109,1.4,2.4
WB,REG,11/4/1988,1988,11,4,10,86,32,7.2,114,1.4,1.9
WB,REG,11/8/1988,1988,11,8,11,84,32,4.9,111,1.4,1.6
EB,REG,11/8/1988,1988,11,8,12,81,30,3.3,110,1.4,1.9
EB,REG,11/8/1988,1988,11,8,12,82,30,2.7,110,1.4,1.9
EB,REG,11/15/1988,1988,11,15,10,82,28,5.5,108,1.4,1.9
EB,REG,11/15/1988,1988,11,15,10,85,29,5.1,109,1.4,1.9
WB,REG,11/15/1988,1988,11,15,10,89,32,7.5,112,1.4,1.6
WB,REG,11/22/1988,1988,11,22,8,87,30,9.6,111,1.4,1.7
EB,REG,11/22/1988,1988,11,22,9,77,27,7.6,107,1.4,2
EB,REG,11/22/1988,1988,11,22,9,79,27,7.4,107,1.4,2.1
EB,REG,11/29/1988,1988,11,29,13,76,27,10.1,102,1.4,2.1
EB,REG,11/29/1988,1988,11,29,13,78,27,10.2,104,1.4,2.1
WB,REG,11/29/1988,1988,11,29,13,87,31,11.8,111,1.4,1.7
