Year,Month,H2O_mm,Ca_WET_kg_ha_mo,Mg_WET_kg_ha_mo,NO3N_WET_kg_ha_mo,NH4N_WET_kg_ha_mo,N_WET_kg_ha_mo,SO4S_WET_kg_ha_mo
2006,6,263,0.132,0.126,0.15,0.14,0.29,0.31
2006,7,91.4,0.054,0.0444,0.22,0.29,0.51,0.47
2006,8,339,0.17,0.1632,0.33,0.37,0.7,0.98
2006,9,95.4,0.048,0.0456,0.06,0.1,0.16,0.24
2006,10,201,0.356,0.18,0.2,0.17,0.36,0.45
2006,11,179,0.09,0.0864,0.16,0.12,0.28,0.25
2006,12,92.4,0.056,0.072,0.24,0.08,0.32,0.24
2007,1,116,0,0,0.11,0,0.11,0.13
2007,2,59.1,0,0,0.04,0,0.04,0.05
2007,3,140,0.036,0,0.23,0.16,0.39,0.39
2007,4,191,0.012,0.0132,0.11,0.08,0.18,0.26
2007,5,112,0.04,0,0.11,0.08,0.18,0.28
2007,6,53.7,0,0,0.05,0.08,0.12,0.14
2007,7,132,0.058,0,0.28,0.31,0.59,0.78
2007,8,68.8,0.054,0,0.19,0.16,0.34,0.43
2007,9,67.2,0.02,0,0.1,0.08,0.18,0.26
2007,10,144,0,0,0.04,0,0.04,0.14
2007,11,181,0.062,0.0504,0.24,0.16,0.39,0.46
2007,12,50.5,,,,,,
2008,1,83.3,0.05,0,0.07,0,0.07,0.11
2008,2,259,0,0,0.25,0.16,0.4,0.57
2008,3,134,0,0,0.1,0,0.1,0.14
2008,4,142,0.16,0.0672,0.25,0.23,0.49,0.47
2008,5,17.9,0.036,0,0.07,0.08,0.15,0.14
2008,6,51.1,0.072,0.03,0.17,0.16,0.33,0.35
2008,7,11.6,0.01,0,0.04,0,0.04,0.08
2008,8,234,0,0,0.35,0.47,0.82,0.85
2008,9,351,0.016,0,0.13,0.08,0.2,0.34
2008,10,51.2,0,0,0.08,0.08,0.16,0.17
2008,11,122,0.056,0.1644,0.07,0,0.07,0.25
2008,12,134,0,0.0924,0.1,0,0.1,0.2
2009,1,,,,,,,
2009,2,,,,,,,
2009,3,10,0.008,0.0048,0.01,0,0.01,0.03
2009,4,174,0.036,0.036,0.07,0,0.07,0.2
2009,5,51,0.036,0,0.08,0.08,0.16,0.13
2009,6,38,0.014,0.0048,0.03,0,0.03,0.05
2009,7,118,0.026,0,0.11,0.16,0.26,0.2
2009,8,14,0.012,0,0.03,0,0.03,0.06
2009,9,182,0,0,0.07,0.08,0.15,0.18
2009,10,167,0,0,0.1,0,0.1,0.16
2009,11,99,0.004,0.0636,0.04,0,0.04,0.11
2009,12,108,0,0,0.07,0,0.07,0.1
2010,1,62,0,0,0.04,0,0.04,0.07
2010,2,67.2,0,0.0396,0.04,0,0.04,0.07
2010,3,66.2,0,0,0.03,0,0.03,0.07
2010,4,190,0.1,0.0684,0.14,0.08,0.22,0.27
2010,5,53.9,0.094,0,0.14,0.16,0.3,0.19
2010,6,156,0,0,0.2,0.16,0.36,0.31
2010,8,41,0,0,0.06,0,0.06,0.07
2010,9,142,0,0,0.1,0,0.1,0.2
2010,10,207,0.122,0.066,0.18,0,0.18,0.3
2010,11,126,0,0,0.04,0,0.04,0.08
2010,12,210,0,0.0828,0.13,0,0.13,0.2
2011,1,78.8,0.01,0,0.06,0,0.06,0.06
2011,2,119,0.1,0,0.19,0.08,0.27,0.23
2011,3,107,0.054,0.1164,0.07,0,0.07,0.15
2011,4,126,0.044,0.0336,0.07,0,0.07,0.17
2011,5,138,0.168,0.0168,0.22,0.23,0.45,0.32
2011,6,54.5,0.092,0,0.14,0.16,0.29,0.19
2011,7,18,0.016,0,0.04,0,0.04,0.04
2011,8,222,0,0,0.23,0.08,0.31,0.41
2011,9,96.5,0.104,0.1584,0.14,0.08,0.21,0.29
2011,10,119,0.018,0,0.06,0,0.06,0.09
2011,11,93.9,0,0,0.05,0,0.05,0.08
2011,12,109,0,0,0.07,0,0.07,0.06
2012,1,74.8,0.038,0.0444,0.07,0.08,0.15,0.12
2012,2,101,0.09,0,0.22,0.16,0.37,0.22
2012,3,28.5,0.034,0,0.04,0,0.04,0.04
2012,4,115,0.078,0,0.08,0,0.08,0.14
2012,5,104,0.044,0.012,0.13,0.08,0.21,0.15
2012,6,114,0.13,0,0.19,0.23,0.42,0.26
2012,7,79,0,0,0.1,0.08,0.17,0.11
2012,8,219,0.02,0,0.25,0.23,0.48,0.36
2012,9,111,0.022,0.0264,0.08,0,0.08,0.13
2012,10,231,0.068,0.0696,0.14,0,0.14,0.23
2012,11,113,0.046,0.1056,0.05,0,0.05,0.15
2012,12,,,,,,,
2013,1,,,,,,,
2013,2,24,0.022,0.0156,0.07,0.07,0.14,0
2013,3,45,0.022,0.0264,0.02,0.04,0.06,0
2013,4,104,0.1,0,0.17,0.19,0.35,0
2013,5,72,0,0,0.07,0.1,0.17,0
2013,7,227,0,0,0.19,0.22,0.42,0
2013,8,253,0,0,0.18,0.17,0.35,0
2013,9,249,0,0,0.2,0.36,0.56,0
2013,10,39,0.012,0.0156,,,,
2013,11,80,0.04,0.0516,0.01,0,0.01,0
2013,12,,,,,,,
