solute,WaterYear,NE_BBWM_EB,SE_CWT_CWT18,GL_DOR_HP3,GL_DOR_HP3A,GL_DOR_HP5,GL_DOR_HP6,GL_DOR_HP6A,GL_ELA_EIF,GL_ELA_NEIF,GL_ELA_NWIF,NE_HBEF_WS6,NE_HBEF_WS7,NE_HBEF_WS8,NE_HBEF_WS9,WC_HJA_HJA08,WC_HJA_HJA09,GL_MEF_S2,GL_MEF_S5,SE_SEF_WS80,NE_SLP_SLPW9,GL_TLW_C32,GL_TLW_C35,GL_TLW_C38
DOC,1975,NA,NA,NA,NA,NA,NA,NA,5.183481487,4.37572517,2.846130062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1976,NA,NA,NA,NA,NA,NA,NA,2.375373217,4.20396234,1.957654709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1977,NA,NA,NA,NA,NA,NA,NA,2.859937598,5.032302681,3.087625851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1978,NA,NA,NA,NA,NA,NA,NA,3.044230177,4.26678995,3.098923609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1979,NA,NA,NA,NA,NA,NA,NA,1.7147926,1.686113807,0.813529221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1980,NA,NA,NA,NA,NA,NA,NA,1.604547467,8.538396386,2.482321717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1981,NA,NA,NA,NA,NA,NA,NA,0.372504864,3.585057851,1.817746693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1982,NA,NA,NA,NA,NA,NA,NA,NA,4.013558384,1.98689447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1983,NA,NA,NA,NA,NA,NA,NA,1.374916492,5.798870056,2.394675608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1984,NA,NA,NA,NA,NA,NA,NA,0.063586819,0.370563867,0.021597796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1985,NA,NA,4.363434432,2.18753547,5.376560126,NA,NA,4.084311792,8.259015613,6.226415892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1986,NA,NA,3.647573589,1.6811244890000001,4.475916646,NA,NA,0.711763935,2.510263011,0.575815648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1987,NA,NA,3.567715906,1.603278827,4.672343112,NA,NA,2.45688747,9.891820192,2.315033751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1988,NA,NA,2.764966438,1.175472318,3.310405344,NA,NA,NA,0.042232086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52002e-4,NA
DOC,1989,0.00251666,NA,3.706482927,1.809233078,3.978675721,NA,NA,12.58227256,18.17734402,12.14973335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206796,0.024950724,0.491586398
DOC,1990,0.00175588,NA,3.978005966,1.557732303,4.310960603,NA,NA,10.74462231,7.326236766,7.241201803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062254399,0.071593532,1.577061896
DOC,1991,NA,NA,3.562143218,1.348272051,3.864273893,NA,NA,10.01100051,12.08490728,7.048059784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04933457,0.052580239,1.715929511
DOC,1992,0.001714375,NA,3.587461903,1.531926493,3.789607008,NA,NA,5.202848135,6.907044616,3.815087766,NA,NA,NA,NA,NA,NA,6.594273408,3.674282239,NA,0.533618535,0.027219362,0.050940728,1.671454972
DOC,1993,NA,NA,1.15112368,0.421167653,1.231825207,NA,NA,4.106640797,5.925969941,3.151826715,0.013366898,NA,NA,NA,NA,NA,3.474921742,2.223035201,NA,0.772575591,0.04038708,0.041684173,1.324241778
DOC,1994,NA,NA,1.59936958,0.647998536,2.096784848,NA,NA,0.08395409,0.145904059,0.071182706,0.017305881,NA,NA,NA,NA,NA,0.570160593,1.235521677,NA,0.689019996,0.038398824,0.037653248,0.86507013
DOC,1995,NA,NA,0.990263666,0.398193944,1.035978508,0.15852677,NA,1.220001434,2.145208395,1.159542462,0.026011409,NA,NA,NA,NA,NA,4.116264237,2.386184521,NA,0.96075297,0.056936788,0.057456646,0.881909854
DOC,1996,0.002080673,NA,0.764566864,0.261766882,1.018736563,0.239204526,0.143845397,5.195490902,6.120658015,6.076467598,0.011856195,0.00182273,0.003846217,0.008729435,NA,NA,2.105574963,1.523695674,NA,0.473889129,0.039655984,0.053162171,1.336537598
DOC,1997,NA,NA,0.918046243,0.429286867,2.41062684,0.35079938,0.218413296,1.202017214,2.22755102,0.8631586,0.014286979,0.002159434,0.005592512,0.011060723,NA,NA,2.077479798,2.568865897,NA,0.635248853,0.037960552,0.043244013,1.292350704
DOC,1998,NA,NA,1.341669411,0.611881383,1.358024751,0.628256867,0.551582026,2.062602466,2.561705321,1.636468445,0.021461953,0.00282164,0.006309763,0.015067527,NA,NA,2.739246729,2.428977819,NA,0.625576317,0.063176137,0.09791562,4.307250809
DOC,1999,NA,NA,1.712761411,0.489371665,1.803208815,0.670797698,0.592611403,1.752217293,2.542003781,1.425015786,0.017975316,0.002453907,0.00599501,0.015062332,NA,NA,3.8122911840000002,2.46150879,NA,0.930539807,0.048678077,0.062940696,1.973058252
DOC,2000,NA,NA,0.790407843,0.260110686,1.059712683,0.265936453,0.165262119,3.787964252,5.303917461,2.943687288,0.015855154,0.002331028,0.005112491,0.013035385,NA,NA,2.42866546,1.839680075,NA,0.581672634,0.05202051,0.064190629,1.651556032
DOC,2001,0.002372151,NA,0.69655055,0.236351279,1.05671133,0.232021748,0.123132876,1.910260363,2.690564312,2.288289035,0.023861774,0.003351367,0.008104448,0.019137235,3.02343e-4,5.32635e-4,2.314392451,1.943428044,NA,0.999167804,0.05287625,0.060837415,2.391352635
DOC,2002,0.002463458,NA,0.49850075,0.172245345,0.737554878,0.16807788,0.105213294,1.558854473,3.185098187,1.424172982,0.024027917,0.003369998,0.007363823,0.020421176,0.065812075,0.024707245,3.793342027,2.556514402,NA,0.813717813,0.028595862,0.041909209,1.303110197
DOC,2003,0.002430017,NA,1.362347922,0.473138816,1.483978146,0.42068133,0.300929616,2.404161624,10.27469586,1.210951049,0.024255624,0.003531668,0.007594614,0.020040297,0.00457571,0.096283139,5.50453464,4.089385336,NA,0.816215139,0.029409311,0.047948148,1.206980873
DOC,2004,5.52611e-4,NA,1.330820223,0.691900948,1.755386648,0.476120183,0.289787085,4.224838231,3.361038321,1.522732383,0.015934226,0.002405428,0.005399589,0.013432164,0.044729448,0.068643323,3.525790985,2.45801239,7.781210431,0.342457559,0.052862751,0.042792651,1.335794061
DOC,2005,0.002180762,NA,1.142108209,0.498425604,1.241428627,0.373773593,0.307506023,2.130011489,3.278171017,2.032546453,0.017421888,0.002286012,0.005042113,0.011295115,0.066507459,0.219953594,NA,NA,18.43221344,0.508558453,0.061030561,0.050244548,1.672049214
DOC,2006,0.001939751,0.017143972,1.180088632,0.452571843,1.183514255,0.413829838,0.307383267,2.618646332,2.267265222,1.509928472,0.012224609000000001,0.001667464,0.003999956,0.008717687,0.063593894,0.089534398,2.917317844,1.410927141,10.43967232,0.434766343,0.01488063,0.014481244,0.497594631
DOC,2007,NA,0.128290811,1.425672724,0.524060252,2.069113772,0.367556764,0.253184072,2.430657188,3.097769302,1.726289433,0.014629822,0.002190979,0.004754576,0.011435805,0.053185508,0.095329254,NA,NA,11.3207405,0.454711739,0.00670262,0.010914349,0.225321132
DOC,2008,0.002446559,0.130196497,0.941641951,0.394767029,1.128442444,0.276745716,0.200701056,0.845262397,1.316022545,0.576040868,0.013740583,0.002134373,0.004694805,0.010139467,0.04098492,0.058961887,NA,NA,14.54344639,0.411739509,0.007028317,0.008688054,0.367720185
DOC,2009,0.002650476,0.146852703,1.44286667,0.576318947,1.320744065,0.280358475,0.129276279,1.467384023,2.363661196,1.154863721,0.014097416,0.001876465,0.005045598,0.013576333,0.045769841,0.098047867,NA,NA,14.11128335,0.3584407,NA,0.003238136,0.008009664
